# GM,diameter,a,e,i,om,w,ma
,5.8,4.504629950681258,.5761005783395901,4.868891831739348,233.2884676643624,140.8120795210524,311.3030107563667
,,3.621812002614595,.5305272289353777,10.0855870317302,309.3978567354816,95.59377683043907,39.23017200425817
,,4.5187566335433686504075,0.2469714049832185953636,2.3290243070995519936161,242.4482673818462,165.5320702572544,38.639099620829
,,6.39724825593164,0.691761661370916,3.83582756854885,343.4564572071254,173.0867710151257,.437851279495995
,,3.01289341549972,0.750123959058633,12.7950633405702,246.1615904468121,149.2844343114263,9.564830913755152
,,3.00880914460354,0.751062411225747,12.8118412445562,246.1336343426631,149.2918108441891,359.6307502791839
,,4.959563010870304,.4982387835727335,12.3068430478631,176.5169814916308,175.5507295650478,102.8877554559597
,,4.302745011855897,.410107375975895,4.689743885746724,245.379084581231,320.7417671234218,330.9400609346508
,,3.8661654111329148975073,0.6277946381861101432519,4.1091696688249541580262,245.5605877675475,216.0971007035949,357.8140625424916
,,4.140996048772898,.5417922616394574,11.2835848034365,26.88488145145794,10.37025831833113,184.8634995358683
,,4.0267485328550911560796,0.6479184283051104831230,23.079725682356599492095,53.56764881149829,316.8388036934592,357.5184738449497
,0.42,3.8070857912160049885130,0.2760252083897379860033,2.3679635720599740977832,93.76206553452435,346.8408341847135,9.172577076233985
,,3.6839877397098339528724,0.5378200072236367645928,3.6784001458494461900272,89.80374991038165,6.697073669671578,327.2729951703992
,,4.334089695239168,.3883606876177078,29.73448145382333,145.2643444594917,43.75899639163972,14.61885710929453
,,3.890340825423956,.5468892567664907,18.50572471974372,272.5136084427926,245.6271082076267,158.008001041056
,8.4,5.833856512260597,.5661110388192186,4.715899610531435,143.5463982893733,215.3725366661693,325.3381249564295
,,4.49524252546863,.307052444517784,9.867922589389332,91.90871679178919,163.6628087831154,62.08993873213372
,,51.213581137145759214490,0.9900975228715980236415,28.119879162537930739063,93.37026929285521,34.67316805083965,.5594094752361835
,,4.883138368148082,.6707469925775105,17.83277991007963,343.4827236629898,49.02924616332407,14.66297978492445
,,6.63432431213906,0.726672673927576,6.38589343013616,97.2645008064834,14.9109113793261,10.21881607437063
,,3.595005724074188,.5591172886409981,20.77777489816497,38.98593156816028,357.7880233367734,324.7857266133864
,,3.413497744830817,.6021733441287879,7.28480307577117,300.0145173543461,148.8424398217783,174.3607913988084
,,4.720620277843243,.02860439677665759,7.908403896860667,137.3063113034902,232.1717993960343,198.6992105374572
,,5.896289124614977,.3808236713487229,23.4202571862728,55.161599697587,4.987818773630607,351.1880662866973
,,3.973628754861036,.4789281005460789,17.27846551679494,337.0387712052208,17.99442092873236,230.8097989497244
,,7.72123378622071,.8350738462769237,95.69806814972893,1.415670065293847,47.13845022529085,323.5772227049488
,,3.048217563826351,.5972436348112535,27.84477766285879,31.25192352450559,356.3636965513109,38.83995707870547
,,3.762261685581952,.4532292334851692,12.71791581387078,102.1156775440929,349.6686757408043,45.1358486292045
,,3.648714806901318,.5413243236729088,16.26844621608229,88.36447041997127,325.9430154098566,271.5297026055949
,,18.04988797793641,.6215837574912003,15.9052716892707,.6387082502039784,126.2053458940078,5.18229338671845
,,13.88283939168301,.3831014579229702,15.36840608994296,64.48884992736954,321.8788868930617,7.700857012594934
,,16.1408551156671,.2699551843085261,19.12720756917645,295.8374388815109,343.6495125063299,16.20278505794441
,,3.623703022347536,.609558895880292,21.927923150458,356.4566376041315,13.95118353211078,23.152291992926
,,2.60425566574427,.7669369023710906,11.30467189031702,176.2211702605364,217.9759064340549,153.0171365009687
,,4.199870356661363,.304583806388193,10.12777178778986,142.9189996185514,225.8282495547306,358.8584460254419
,,3.552070610991009,.5031130574217229,21.94963377831148,101.7169091843631,347.1063951041499,46.58905322028546
,,3.513041388595308,.3621000285472535,11.51788668666248,40.10464568849098,178.9098815675956,272.1969040407997
,,5.706964720495605,.2616668314758032,16.49335224895017,100.5748841296852,29.88792738516089,312.9485131182346
,,3.489010379555493,.422108210763933,6.094260436269924,126.4428572405694,51.12974993498207,212.5069158675133
,,24.33728792070278,.9545011068589594,31.17928819507535,272.1861491051434,60.34965166822896,356.4397738827332
,,3.671379251406218,.4736044547790138,10.97487311421093,103.5726462427146,296.9127640125242,42.44995279317303
,,5.892900594038868,.3073410789337982,19.88555991544916,115.8804248904036,295.7053975964394,282.510634751329
,,3.845320881887579,.3580036731713096,16.9135967911936,84.75478189771489,94.88908325764632,300.7115222203405
,,3.839018373459053,.7073228278805144,16.98117916666919,37.6794577153227,333.7988485602352,11.75008853224812
,,2.931215275854553,.6663423299937125,16.90929664735519,75.10006348979451,51.4338425706135,184.0620435516912
,,4.510558393807576,.1366398671036191,18.72588223967194,5.876211282555081,161.5039830440704,279.4479476471379
,6.2,3.525555300846194,.6047574969528612,1.550151675482132,278.0622302717972,77.6768853021069,188.2510204375339
,,3.099699187747567,.6993210375147131,14.00701803958159,214.0910177221359,181.9403336066726,62.38997669552067
,,4.831985872197205,.1175909231262562,28.84554233368216,327.8837618788246,278.5991007566114,333.5038619843111
,,4.452956038241505,.1701182218624886,13.73205540848052,112.0003402757854,131.7178225812288,284.1769502005516
,,4.367933465510861,.4156143236868653,10.54642338238299,359.152366957992,26.415847837298,315.8282741837955
,,2.920510268004104,.5967955466821282,20.3759013976059,282.1441610466808,15.3971378706121,46.5143553186676
,,4.238873588778033,.5197511294482888,2.189406233768544,336.1885706110741,49.60882133903502,255.7876194112108
,,3.531438635850059,.420088117106165,8.761153641940226,106.5280264121843,274.1702927798232,3.40012495951206
,,6.698604558889319,.772126286309046,24.38729278371501,51.72674724291831,310.8321766153857,316.6070773213959
,,3.576955497653179,.3943974832585899,10.68655433942626,335.1947259783584,8.461440469545121,338.7670271273605
,,4.011141814411594,.5744269855109287,11.12310181213155,352.0736569578513,130.6874606135541,272.1393581321437
,,6.47960643491348,.315047798798942,36.36748420072287,243.2611246188573,249.6535742516584,338.5816063674453
,,3.782304374598119,.4311386886727762,19.37422810018398,24.36799499995337,11.64351317722606,140.8778775285012
,,2.865999002612692,.6296602371558928,25.5427252545893,66.3882461525948,188.7289004473067,69.3051576029857
,,3.583095841015954,.4478991359345119,1.349391820477114,358.7697269096058,69.0389904430001,218.3423042471462
,,5.954800268410104,.5069284376022202,24.76767471270187,92.94703569264837,191.9393427947523,320.7929535540054
,,4.920224292987082,.3333926492953443,12.12229231779412,234.8338517386848,133.2517567177933,292.5233477872862
,,3.472141673886086,.6089472162399511,7.043587796505476,35.46549303919777,24.61755550212034,175.7947131982716
,,3.77165286850811,.3304054745670374,2.185350644412855,194.5901910419711,255.7183519501936,187.0975773749926
,,4.643485238138329,.314653512873307,2.976027527201579,290.5608642498839,154.5454157226637,318.6063511600875
,,3.660707847290944,.470450969961421,6.582525803250807,109.1148842940803,355.1308197419123,221.4551975192831
,,3.5398424778256338818494,0.5687994463576102610602,15.304301333222069203543,179.6301894881853,154.2417479929983,354.0692227066432
