0,10,0
key,merger [Bool],mass [kg],x [m],y [m],z [m],vx [m/s],vy [m/s],vz [m/s]
1.087593200261309e+19,1,7.955680000000000e+36,-8.636992733056000e+12,-4.072858830208000e+12,1.015169285006000e+12,-1.496142392169980e+02,-5.036602852761428e+01,7.195845638133960e+01
1.509164206350612e+19,0,1.988920000000000e+33,9.930567039057920e+14,-2.582779771974912e+15,-3.375416983065604e+15,-9.001967174493861e+04,-4.311166507335445e+05,1.085940393006214e+05
1.691166510873591e+19,0,1.988920000000000e+33,-1.853220866606874e+16,8.672551907473920e+15,1.135750787340285e+15,-2.056358720004171e+04,-1.290162769176717e+05,9.745757743049156e+03
6.481667218268484e+18,0,1.988920000000000e+33,4.451382009371776e+15,5.080704880708736e+15,2.319147055761055e+14,5.104237875955131e+04,-6.377877186124958e+04,-1.427096150679372e+05
2.007978813239670e+18,0,1.988920000000000e+33,2.451740822064269e+16,1.719718497095040e+15,-4.582464959233676e+15,4.359422938325445e+04,1.083402456131052e+05,2.631600327899606e+04
1.170558460049341e+19,1,1.988920000000000e+33,1.688706142132096e+15,-1.632529455087360e+15,6.678944471815941e+15,-3.741882805215551e+04,3.426799661889278e+04,-1.420087514789533e+05
3.011659258914671e+18,0,1.988920000000000e+33,2.414932385517056e+15,-8.582140504934912e+15,1.326303866737030e+15,2.099689528323281e+05,1.382948602414670e+05,9.531014052230230e+04
1.766491459963175e+19,0,1.988920000000000e+33,5.778871457817472e+15,-5.094217349394048e+15,2.359299176803752e+15,2.693686596100940e+05,-1.138464695289076e+04,-6.795215650910743e+04
1.212998403350701e+19,0,1.988920000000000e+33,1.234465516195533e+16,1.604134725930048e+16,-6.842003527562918e+15,-9.507031035213232e+04,9.420922991425180e+04,1.700200559983828e+04
1.489796079615018e+19,0,1.988920000000000e+33,8.911675163502080e+14,2.668779857306368e+15,-9.930046784372095e+14,2.675551336320323e+05,4.616481281880967e+05,-1.921312489141676e+05
