0,20,0
key,merger [Bool],mass [kg],x [m],y [m],z [m],vx [m/s],vy [m/s],vz [m/s]
1.582920787430898e+19,1,7.955680000000000e+36,4.399641470448000e+12,-3.098819527955200e+13,9.210236125641250e+11,-1.689781579417166e+02,2.529328733263048e+02,-2.184269424362819e+01
4.188590452248699e+18,0,1.988920000000000e+33,-4.154788581048256e+15,-1.183735321767816e+16,-4.395743234615518e+15,1.001378413787678e+05,-1.467597127027620e+05,-1.396046123350634e+04
8.897227728031036e+17,0,1.988920000000000e+33,4.730300904090544e+15,-4.620740314607344e+15,3.894851410985514e+15,1.532858456125493e+05,-2.311731397689747e+05,5.717361727883116e+04
1.560665844775526e+19,0,1.988920000000000e+33,-1.372905710799618e+16,7.715493797799696e+15,4.363799636545486e+15,7.779501145899310e+04,-3.968296219340261e+04,5.520143321889306e+04
1.407923681064464e+19,0,1.988920000000000e+33,3.000599449582912e+15,7.859213431075600e+15,-4.192554726757771e+14,-1.206105435848243e+05,1.299163981289659e+05,5.500316173947727e+04
8.865329549375171e+18,0,1.988920000000000e+33,-4.876000318262240e+14,1.136293471832754e+16,-3.964057643479460e+15,-3.116056239863369e+04,-5.210929602951705e+04,-6.202584864800528e+04
1.826887877465235e+19,0,1.988920000000000e+33,-3.197711851931296e+15,5.042974319009168e+15,3.117693903388027e+15,2.410329553019531e+05,-1.468519038272584e+05,3.620009982032851e+04
1.064162797936773e+19,0,1.988920000000000e+33,1.455363346833435e+16,1.843622399768496e+15,1.951537271329742e+15,-1.311995455373285e+05,1.422730190775853e+05,-2.170628106058161e+04
1.107877268534530e+19,0,1.988920000000000e+33,-4.720059988122944e+15,8.378581251593456e+15,-7.902068679591951e+14,1.893220110015443e+05,-1.191190898547893e+05,9.194243643235794e+03
1.570033372887479e+19,0,1.988920000000000e+33,-5.140346108671024e+15,-4.118807230291328e+15,-1.005909736407254e+15,3.218863081049346e+05,-7.556316797745225e+04,3.447021861901312e+04
7.393779781984595e+18,0,1.988920000000000e+33,-1.108585293440069e+16,6.425080311770000e+15,-4.191513034462587e+15,3.927102278723947e+04,-1.683205436322571e+05,-2.374722224013163e+04
1.387900457341357e+19,0,1.988920000000000e+33,-2.285121784372227e+16,1.273389755687696e+15,-3.710705397149860e+15,1.795387871416228e+04,7.211677274399376e+03,1.817622898466941e+04
1.645028416340493e+18,1,1.988920000000000e+33,-1.790973196044480e+14,2.918989740675344e+15,1.259282619422584e+15,2.708428220004197e+04,-4.113870793742767e+05,-1.736063699088580e+05
1.163353286325326e+19,0,1.988920000000000e+33,1.423262394947226e+16,2.654384173504965e+16,-5.061856865637879e+15,-3.429240521574061e+04,-2.352942668895832e+04,6.445665590609903e+03
1.027818920981871e+18,0,1.988920000000000e+33,-7.158571392403440e+15,8.994957416719248e+15,-1.035656253620180e+15,-1.975515911842901e+04,9.612342906681352e+04,5.421679177683315e+04
8.423889126154521e+18,0,1.988920000000000e+33,1.171484469939734e+16,7.814934062126320e+15,1.519738906135525e+15,-7.756426181649897e+04,-6.931567096750754e+04,6.930852996638580e+04
9.785139151206904e+17,0,1.988920000000000e+33,3.381745728468560e+15,2.146868950182715e+16,1.672120194808790e+14,-4.912119431290543e+04,-7.711517980291684e+04,2.610726730023725e+04
1.590535981728753e+19,0,1.988920000000000e+33,2.063441156240688e+15,1.313011498454776e+16,-1.656393332093582e+15,-1.406620392194990e+05,4.546016928739435e+04,-2.570089460147499e+04
1.282937976839569e+19,0,1.988920000000000e+33,8.449029758872464e+15,4.991345397639280e+15,4.446414260908704e+15,2.054173077786494e+05,1.476098433275112e+05,5.035560807976485e+04
1.667203868133680e+19,0,1.988920000000000e+33,-7.020481836509264e+15,8.765519057246640e+15,1.826673359648009e+15,-9.290812136810931e+04,-1.939885664781699e+04,-6.373501135120874e+04
