0,20,0
key,merger [Bool],mass [kg],x [m],y [m],z [m],vx [m/s],vy [m/s],vz [m/s]
7.363081740943728e+16,1,7.955680000000000e+36,-4.485564162915000e+12,8.220903493600000e+11,5.878062806746445e+11,6.668352691178461e+01,7.322672083482280e+01,-4.645497634179681e+01
1.358273840994900e+19,0,1.988920000000000e+33,9.570782412604702e+15,-1.431508204584066e+16,-1.534229022122826e+15,-1.437106482573274e+05,-4.374958164258576e+04,1.339752282487588e+04
1.380149749099530e+19,0,1.988920000000000e+33,-9.161087556087220e+14,-6.896624729446628e+15,7.307625301828126e+14,-1.492397109290819e+05,-2.737847825357959e+05,2.554621248557439e+04
1.809758143413338e+19,0,1.988920000000000e+33,-8.999403915467138e+15,-8.770642702602546e+15,-4.307731352771490e+14,1.371069910259750e+05,-1.467082934665388e+05,4.754082774133783e+03
1.639070716199833e+19,0,1.988920000000000e+33,7.843651648961178e+15,6.220668821311883e+15,-1.935038394747705e+14,-8.973813063590735e+04,2.006708477070351e+05,-1.080299223396023e+04
1.196096233200609e+19,0,1.988920000000000e+33,-9.153841734882966e+15,-3.080709474050051e+15,1.781589405687489e+14,1.332155522879822e+05,-1.457478755236327e+05,3.214215578370591e+04
1.698130737559040e+19,0,1.988920000000000e+33,4.675399352520206e+15,-8.364570961724420e+14,6.136390118198848e+14,2.503475876386891e+05,2.942469377368189e+05,2.766395619097773e+04
1.582053512398651e+19,0,1.988920000000000e+33,-9.130226117657210e+14,1.269276435315248e+16,-1.869305430097714e+14,2.221659686306386e+05,3.346248101227829e+04,-9.694229865123692e+03
6.044334002875686e+18,0,1.988920000000000e+33,5.901727055546960e+15,6.226575925649260e+14,7.063685852152535e+14,7.190319964641389e+04,3.329696712057416e+05,-4.621381265110977e+03
1.727738920219273e+19,0,1.988920000000000e+33,9.797310242325820e+15,5.509130309997071e+15,-4.154211742779976e+14,1.725128032910495e+05,1.676303354726309e+05,-1.571528880079641e+04
6.745871632739483e+18,0,1.988920000000000e+33,-6.765064322330556e+15,2.178132420254463e+15,-6.374247317512729e+14,3.074667574487231e+04,-2.897251490638619e+05,2.712676064195737e+03
1.751972326163376e+19,0,1.988920000000000e+33,1.570605190361903e+15,-6.630942447298250e+15,-7.076946757975784e+14,-2.744757827613712e+05,6.425544486496980e+03,-4.510299941833966e+04
5.033415365804585e+18,0,1.988920000000000e+33,-7.323310540638149e+15,4.699567586446551e+15,4.360185443913500e+13,-1.478426509561939e+05,-1.414185091137710e+05,5.025826593463841e+03
4.480341709359972e+18,0,1.988920000000000e+33,1.912670173206109e+16,7.468393146554517e+15,4.726051502460625e+14,-1.250301756425956e+05,-8.478500418232035e+04,-6.113299654512571e+02
1.532383980590812e+19,0,1.988920000000000e+33,9.266708810907234e+15,4.652112845739781e+15,-9.136821737458080e+14,5.705487266249580e+04,1.748705942142291e+05,-8.742522808840282e+02
1.565495483530321e+19,0,1.988920000000000e+33,-1.123928953507751e+16,-7.833991960701674e+15,6.048262660500909e+13,1.580289813817775e+05,1.725873962455653e+03,-3.411842596086317e+03
8.337182839902982e+17,1,1.988920000000000e+33,9.272339220628480e+14,1.627425592720057e+15,-3.469875003539628e+14,-3.489747746777262e+05,-6.141657698401996e+05,1.336510234139040e+05
1.235676954137252e+19,0,1.988920000000000e+33,-1.100612530483182e+16,8.949092845163473e+15,2.698592521961532e+14,-9.340897258397938e+03,-1.748117522035539e+05,1.099045502574501e+04
2.042152375200337e+18,0,1.988920000000000e+33,-8.450353634252230e+14,-1.033507961122703e+16,-2.107596401649741e+14,-1.959239653002581e+05,1.287365944888426e+05,8.279747423667885e+03
1.321250202622678e+19,0,1.988920000000000e+33,6.423338368336312e+15,7.912231559921460e+14,1.507033620044889e+14,-1.554000353817343e+04,2.812509539464390e+05,1.249056321269567e+04
