0,25,0
key,merger [Bool],mass [kg],x [m],y [m],z [m],vx [m/s],vy [m/s],vz [m/s]
13628316985807274657,0,7.955680000000000e+36,2.542660827033600e+13,1.397277198489600e+13,4.265818559302000e+12,2.867399439158587e+02,-1.165180673839050e+02,-1.194662635094654e+02
13628316985807274657,0,1.988920000000000e+33,6.927493962690560e+15,-5.421876684400640e+14,-1.773910013864755e+15,1.318766819779272e+05,8.803677998446496e+04,1.866030274291481e+05
13628316985807274657,0,1.988920000000000e+33,5.283197067899136e+15,2.546639005204224e+15,-5.676183547091230e+14,3.692833191751029e+04,-1.442680655253953e+05,-3.902306694597692e+04
13628316985807274657,0,1.988920000000000e+33,1.093517263179520e+16,2.118664438290560e+16,-1.464178104685787e+16,-4.065829207944373e+04,5.147353130918757e+04,5.018661244016951e+04
13628316985807274657,0,1.988920000000000e+33,-6.301934868777728e+15,-7.961549904924928e+15,7.121576882699412e+15,1.328715694938043e+04,1.519330769280415e+05,2.732982223746730e+04
13628316985807274657,0,1.988920000000000e+33,-1.776042068018483e+16,-8.244160083468314e+16,1.702567059112003e+16,4.932649109179091e+03,7.136132427468366e+04,3.097262921675313e+03
13628316985807274657,0,1.988920000000000e+33,-9.120078998016000e+14,-1.417317408541773e+16,2.217487958021840e+15,1.722016604823856e+04,3.558135721588360e+03,-2.463210810592885e+03
13628316985807274657,0,1.988920000000000e+33,-4.224735308213760e+14,1.767108315805107e+16,1.321617839312194e+16,4.987783055407534e+04,8.288901430908963e+04,-1.239381191351636e+05
13628316985807274657,0,1.988920000000000e+33,6.345427396183808e+15,-8.625400849776128e+15,-1.895551276270966e+15,1.138589655973845e+04,-5.429913457534827e+04,-1.600701551271006e+05
13628316985807274657,0,1.988920000000000e+33,-2.961091862735616e+15,-6.522466099196160e+15,7.688865658028088e+15,-3.242072737781795e+04,-1.006771872300237e+05,-1.980477574635289e+05
13628316985807274657,0,1.988920000000000e+33,4.886551332147200e+14,-7.643427959267584e+15,1.113850544749817e+15,-1.657574737089667e+04,2.776776845536835e+05,-3.924934347129754e+04
13628316985807274657,0,1.988920000000000e+33,-1.541925108970240e+15,5.514210017040896e+15,1.548589450813712e+16,-5.324672585012690e+04,1.858625266024461e+05,2.425445602769936e+04
13628316985807274657,0,1.988920000000000e+33,-1.764696789506560e+14,-3.222893800099584e+15,-9.800734571927594e+15,-1.520058851751563e+05,-8.585537839719733e+04,1.295023604580638e+05
13628316985807274657,0,1.988920000000000e+33,4.627430555816704e+15,-9.736564617256448e+15,-1.947806926458379e+15,-1.683807824068751e+05,-7.337374926247596e+04,-1.022190091085874e+04
13628316985807274657,0,1.988920000000000e+33,1.178295842452224e+15,2.257986922983680e+15,7.729900923539684e+15,-1.612215119005773e+05,6.267029694282846e+04,-1.163765277988279e+05
13628316985807274657,0,1.988920000000000e+33,-1.475995691108762e+16,-2.510335115945984e+15,-1.916091694676436e+16,2.611278062010527e+04,5.980249934234863e+04,4.183517088481331e+04
13628316985807274657,0,1.988920000000000e+33,3.473141929935360e+15,6.994386754416640e+15,-3.704129528994842e+15,8.819870051484639e+04,4.669065699344172e+04,2.214063349856574e+05
13628316985807274657,0,1.988920000000000e+33,-8.898076500313216e+16,6.515069094564557e+16,-3.035694993784950e+16,-4.150938002783961e+04,1.351166075685504e+04,6.847328923653277e+03
13628316985807274657,0,1.988920000000000e+33,2.243486847937792e+15,-3.859474833244416e+15,3.832317355121850e+15,1.797771386027232e+04,-7.455187441555852e+04,2.656134792270566e+05
13628316985807274657,0,1.988920000000000e+33,2.931046646596608e+15,-1.898705348321280e+14,5.658087074058280e+15,-6.819783873799485e+04,-5.433920950171429e+04,2.733238172443600e+05
13628316985807274657,0,1.988920000000000e+33,2.319496736917504e+15,-2.218672286149811e+16,7.557237262952702e+15,4.667632535947804e+04,-2.405051216395298e+04,-4.313758193046805e+04
13628316985807274657,0,1.988920000000000e+33,9.074233667901440e+14,-1.527198604968704e+15,3.616064480758864e+15,-4.381084280923855e+05,-6.861878879934101e+04,-2.714465742250996e+04
13628316985807274657,0,1.988920000000000e+33,-1.117842972753587e+16,-3.270995619222784e+15,-2.362536836773202e+16,-8.345971322867434e+04,7.771488026748307e+04,-2.080527540126557e+03
13628316985807274657,0,1.988920000000000e+33,8.864168640038400e+14,4.235340274501120e+15,-5.119583568263213e+15,-2.357324598561380e+05,-1.130031305959054e+05,-1.661339123040196e+05
13628316985807274657,0,1.988920000000000e+33,-5.257642792260864e+15,-7.034206011217408e+15,3.267944670172496e+15,-9.991651703025980e+04,8.592723201638933e+04,1.757521421185684e+05
