0,30,0
key,merger [Bool],mass [kg],x [m],y [m],z [m],vx [m/s],vy [m/s],vz [m/s]
4615050075093120874,0,7.955680000000000e+36,-3.776127961011200e+13,-1.096091619379200e+13,-1.138585361444000e+12,-4.492986099652946e+02,-2.690913286302018e+02,-8.625833553926606e+01
4615050075093120874,0,1.988920000000000e+33,2.928791881846656e+15,4.739525139614272e+15,-8.745740206486589e+15,-1.221989634255365e+04,-1.115557470589423e+05,2.459815028218705e+05
4615050075093120874,0,1.988920000000000e+33,-3.707492005629056e+15,-7.051083925832416e+15,-5.948477944972384e+15,1.998662916416388e+05,-1.412993844924921e+04,1.176691504525608e+05
4615050075093120874,0,1.988920000000000e+33,1.000789613166778e+16,-8.829716440796480e+14,1.211640908773801e+16,2.173832702484676e+04,1.017283014637538e+05,2.891816730142357e+04
4615050075093120874,0,1.988920000000000e+33,2.288804293637184e+15,-7.514326129258240e+14,1.502214305571777e+16,1.283335425047641e+05,8.070149916526134e+03,-8.341824151547442e+04
4615050075093120874,0,1.988920000000000e+33,8.007496186320768e+15,7.241286495740160e+15,-2.781530943133360e+15,8.640171745771721e+04,-1.134229812161477e+05,9.886531007434310e+04
4615050075093120874,0,1.988920000000000e+33,1.147569839174163e+16,3.453705306472544e+15,7.760822838780492e+15,2.855407920596749e+03,-5.978254372308901e+04,1.317749852189161e+05
4615050075093120874,0,1.988920000000000e+33,-5.324618361182400e+15,-2.621709480366560e+15,6.190815287369947e+15,-8.201720984917348e+04,5.633638329037980e+04,-8.913129775515248e+04
4615050075093120874,0,1.988920000000000e+33,-5.647717028514112e+15,1.322633622073280e+15,-3.604601594880740e+15,1.196991554793308e+05,2.570133089505850e+05,-1.511131885471099e+05
4615050075093120874,0,1.988920000000000e+33,2.111173262284800e+13,-1.022480544712138e+16,9.187466894420526e+15,-1.494480679292032e+05,9.028546120214455e+04,9.137247517130651e+03
4615050075093120874,0,1.988920000000000e+33,1.075935384293626e+16,7.376807928080704e+15,3.279964397898366e+15,1.761765005293185e+05,-1.085656310884726e+05,8.561977940344014e+04
4615050075093120874,0,1.988920000000000e+33,2.736283041759296e+15,5.776220098046400e+15,-5.721933385929526e+15,7.996180472941729e+04,9.508125563818788e+04,1.663908006460627e+05
4615050075093120874,0,1.988920000000000e+33,1.277902719627744e+16,4.252918466072512e+15,-5.137598292334010e+15,-3.007734495274460e+04,-8.457940195771192e+04,1.852598036468408e+04
4615050075093120874,0,1.988920000000000e+33,2.336804553547648e+16,-1.263286891510598e+16,2.769710085798757e+15,4.387167558443793e+04,-5.872493714582913e+04,1.405615947591817e+04
4615050075093120874,0,1.988920000000000e+33,8.943805209984640e+15,8.866811581876480e+15,-5.162531244937426e+15,-7.965449889173143e+04,1.244447879947901e+05,1.077656918807156e+05
4615050075093120874,0,1.988920000000000e+33,8.316247300240896e+15,1.040275942796582e+16,-6.014023112716693e+15,9.200624666978651e+03,4.756705163538406e+04,-1.174556341517299e+05
4615050075093120874,0,1.988920000000000e+33,1.006863482370272e+16,2.620674494945120e+15,-7.786856405710133e+15,-1.970138513691235e+04,-6.791320834939860e+04,4.501225446263181e+03
4615050075093120874,0,1.988920000000000e+33,-2.445157716822016e+15,-3.066877188820096e+15,-4.795878523549296e+15,2.039092771071834e+05,5.475903859247053e+03,-2.272383383412399e+05
4615050075093120874,0,1.988920000000000e+33,1.443977005584506e+16,-1.382296048327392e+16,7.398598477971308e+15,1.471688951324193e+05,2.995028190416253e+04,2.704654224090883e+04
4615050075093120874,0,1.988920000000000e+33,1.031325807616832e+15,-6.129661653592736e+15,1.083372774308911e+16,-4.500350728446658e+04,1.306618902191849e+05,3.846562253737215e+04
4615050075093120874,0,1.988920000000000e+33,-1.106722330118861e+16,2.279750498833766e+16,-5.360740697168335e+15,3.605462810802910e+04,2.869829158583606e+04,3.801593317298181e+04
4615050075093120874,0,1.988920000000000e+33,7.396309338644608e+15,2.250747552880704e+15,-3.547445814178033e+15,1.349636721725928e+05,1.895053286717108e+05,-1.046722615742803e+05
4615050075093120874,0,1.988920000000000e+33,1.111813063365587e+16,7.908856126500480e+15,-5.355899384337258e+15,-1.137618368512270e+04,9.879018175621540e+04,-1.509467407291525e+04
4615050075093120874,0,1.988920000000000e+33,8.530239202696512e+15,-1.152631214913280e+14,3.136510047333405e+14,5.586978479279477e+04,2.146665927455671e+05,-1.640500276373646e+05
4615050075093120874,0,1.988920000000000e+33,-5.117531247239040e+14,-1.160540841596192e+15,1.853620405354623e+15,6.214684301253026e+05,7.704079686639858e+04,1.517702893239096e+05
4615050075093120874,0,1.988920000000000e+33,-2.437588773551744e+15,7.965498325973152e+15,-5.412672791828512e+15,-8.017049956558095e+04,-2.230405890292968e+05,2.813783870393497e+04
4615050075093120874,0,1.988920000000000e+33,1.098881258461907e+16,1.475376345532800e+15,-3.948084611053155e+15,1.266181144264754e+05,3.861802159299063e+04,-6.519818370001503e+04
4615050075093120874,0,1.988920000000000e+33,-2.725316021335872e+15,-8.107675431253440e+14,4.050824486207430e+15,2.227306138093015e+05,1.037333465788489e+05,3.117262156058518e+05
4615050075093120874,0,1.988920000000000e+33,1.305773474620768e+16,7.529936071009504e+15,1.803234148617263e+15,-3.179131171688013e+03,2.244898721121132e+04,-7.721535000807550e+04
4615050075093120874,0,1.988920000000000e+33,6.648466835618496e+15,-2.866654338737536e+15,1.297368485295442e+15,-1.068462985427905e+05,1.979639694558215e+05,-1.847479027278663e+05
