0,15,0
key,merger [Bool],mass [kg],x [m],y [m],z [m],vx [m/s],vy [m/s],vz [m/s]
1.343650139356169e+19,1,7.955680000000000e+36,7.518240903040000e+11,-7.818188990720000e+12,8.123054566805500e+12,-1.593196983309285e+02,2.870790887093116e+02,5.257616539513032e+01
1.018272409661489e+19,0,1.988920000000000e+33,2.156484388089306e+16,4.127683007182893e+16,6.911129957688706e+15,8.550502101345652e+03,7.164590014414492e+04,9.775547100167765e+03
1.571297065721660e+19,0,1.988920000000000e+33,1.210051504564096e+15,-5.888733597314176e+15,3.603003022136239e+15,-8.089482277624930e+04,-1.793411278787455e+05,2.585682615845340e+04
6.197923985157895e+18,1,1.988920000000000e+33,-2.346148334409728e+15,-5.383133263075200e+14,-8.016444017456225e+14,5.358105710804125e+05,1.245756547104398e+05,1.834298903935093e+05
1.013260729559244e+19,0,1.988920000000000e+33,-7.676943764641536e+15,-1.025046712508768e+16,-6.206572523855276e+15,-7.250964533044918e+03,-1.585258833590657e+05,-1.159647872051458e+05
1.339843591788977e+19,0,1.988920000000000e+33,5.689403537908608e+15,4.869531561884032e+15,-4.163865357076194e+15,1.494335353457431e+05,-1.489135586220887e+05,-1.619338534967753e+05
1.443763288699695e+19,0,1.988920000000000e+33,-7.093340375757888e+15,2.017660514334848e+15,-6.982627750147523e+15,-1.600199735939156e+05,-1.075201070510346e+05,-8.391644668841116e+04
1.093327363270855e+19,0,1.988920000000000e+33,-3.672492113343693e+16,-3.793011766278598e+16,-2.552276902176941e+15,-2.604406773444241e+04,-2.633356199694839e+04,1.398049894076249e+04
1.662343912796147e+19,0,1.988920000000000e+33,-2.505066541792448e+15,2.388282737204800e+15,-1.992710989999010e+15,-8.730092151882763e+04,-7.131902772404288e+04,-3.889364980484109e+05
1.779146848956247e+19,0,1.988920000000000e+33,6.409107133605760e+14,-2.508353038430080e+15,3.736952407084286e+15,-2.256750036846606e+05,-3.335914041086591e+05,5.327719645612512e+04
1.226599608517579e+19,0,1.988920000000000e+33,-3.797136878953920e+15,2.890073110651904e+15,5.967408947288800e+15,1.973862026514615e+05,-5.385393320720693e+04,1.514317219282811e+05
9.217970149311184e+18,0,1.988920000000000e+33,-1.251993024313440e+16,-1.828979452020006e+16,-8.090117710056772e+15,-9.835602870269164e+03,1.160985991879773e+05,6.983776570169938e+03
1.808836586138624e+19,0,1.988920000000000e+33,1.446062459625920e+15,-3.487657634395648e+15,-6.005423366765545e+14,-3.602652640314528e+04,-3.989576266759316e+05,2.895958830524518e+04
8.044027661996684e+17,0,1.988920000000000e+33,3.832104250239680e+16,5.007664143739501e+16,-2.242414477570829e+16,4.349442768300071e+04,3.056537970860454e+04,-2.068117379949375e+04
3.816143141858237e+18,0,1.988920000000000e+33,7.838763118359040e+14,6.647173434385344e+15,1.103790146025124e+15,3.356514375763049e+05,-1.284565796468908e+04,8.743305180500136e+04
