0,25,0
key,merger [Bool],mass [kg],x [m],y [m],z [m],vx [m/s],vy [m/s],vz [m/s]
1.056487364530153e+19,1,7.955680000000000e+36,-3.352096417019200e+13,-2.878535607093600e+13,8.596052949837109e+11,-1.906990960505973e+02,-1.242180328634072e+01,1.038905411985565e+01
1.637724811411331e+19,0,1.988920000000000e+33,6.182672663736384e+15,6.871423765889368e+15,3.528460393096351e+14,2.518329322092140e+05,5.600105349091666e+04,2.311668803383212e+04
6.081887199893544e+18,0,1.988920000000000e+33,4.561405919423712e+15,4.654619208462464e+15,-2.948249904710633e+14,6.647961810961101e+04,2.658429968897500e+05,-3.749652842369578e+04
1.270123864302122e+19,0,1.988920000000000e+33,4.786036730336952e+15,-7.660445160412624e+15,1.536213071506226e+15,2.414142397467445e+05,4.406141291321564e+04,2.814907717810729e+04
4.340754703880993e+18,0,1.988920000000000e+33,8.787887029844928e+15,6.107237870651584e+15,1.602132098158126e+14,-1.393104571490765e+05,-1.410028207194257e+05,3.355588839341312e+04
1.311759534134084e+18,0,1.988920000000000e+33,-8.832913761628456e+15,-1.630812143157975e+16,2.941356639637634e+14,-1.536377509273434e+04,2.013724015749614e+04,4.892280420887333e+04
1.385904324555626e+19,0,1.988920000000000e+33,1.534574434253156e+16,1.017489118546324e+16,-3.284609842607486e+15,-2.177262996500165e+04,-4.062498726030426e+04,-3.756350919206795e+04
3.975279600805577e+18,0,1.988920000000000e+33,1.888182769578734e+16,9.355316021113144e+15,-1.365456351415555e+15,1.162424455238966e+03,1.295946444066370e+05,-3.113723066505859e+04
1.281067050204460e+18,0,1.988920000000000e+33,1.246077293056478e+16,-1.984934478003840e+14,-1.112681216462122e+15,-5.580034859585589e+04,-8.314701743396302e+04,1.902470386322957e+04
4.662500443966535e+18,0,1.988920000000000e+33,1.070974809539154e+16,1.594391207903214e+16,-3.853566708000816e+15,-6.439660469782431e+04,6.764602220112981e+03,1.204417920658976e+04
7.039490017615541e+18,0,1.988920000000000e+33,7.178732876422400e+13,2.060934752557432e+15,-8.169289809786564e+14,6.094130731552471e+05,2.044061598003509e+05,-1.595786750809572e+05
1.510322129854581e+19,0,1.988920000000000e+33,-1.186286068234354e+16,-1.841057071020162e+16,3.327495297104050e+15,4.831688404953507e+04,5.077394863828435e+04,-1.548166232149894e+04
1.279690989334594e+19,0,1.988920000000000e+33,9.149701995751696e+15,1.416404736040735e+16,-1.068422509718560e+15,-2.227216304433012e+04,5.237727183650284e+03,-7.786214800583712e+03
1.031156269334294e+19,0,1.988920000000000e+33,1.736814578414907e+16,2.269120035569062e+16,2.814040143473756e+15,7.727859094980631e+04,-3.653467345275429e+03,-1.930678388790185e+03
1.412261977456065e+19,0,1.988920000000000e+33,-3.179726965894000e+15,2.111568773297196e+16,-2.253018823518496e+15,8.901856990496830e+04,3.670248841230799e+04,-9.051451227878857e+03
1.203565693127864e+18,1,1.988920000000000e+33,-5.255891478620800e+14,1.119719541649549e+16,-1.373638661258152e+15,8.702551000384412e+03,-1.977918167296475e+05,2.457388455901451e+04
4.134249634364848e+18,0,1.988920000000000e+33,-1.547870549084114e+16,8.660918201006208e+15,2.744381674397969e+13,8.272005957946292e+04,-8.768551630321903e+04,5.320108376331816e+03
7.487981282504252e+18,0,1.988920000000000e+33,1.407054313879034e+16,-9.139781055306096e+15,-7.373198971880909e+14,1.115371423020464e+05,-1.077725293753824e+05,8.681618850183908e+03
8.024900322529758e+18,0,1.988920000000000e+33,5.439680103374304e+15,2.047842108421730e+16,-2.352398854901612e+15,-2.153757261682557e+04,-3.197546323952285e+04,-2.010759767361816e+04
3.491681003578970e+18,0,1.988920000000000e+33,-9.757648189649880e+15,9.317583860149440e+15,-7.609783153216535e+14,-3.878283770369302e+04,-3.964882898410184e+04,1.597426136496056e+04
3.570463958055926e+18,0,1.988920000000000e+33,1.703932517166942e+16,3.910982500045072e+15,5.966382526982015e+15,-8.528540566790642e+04,-7.457496745338682e+04,1.441315039185106e+04
5.239932305481287e+18,0,1.988920000000000e+33,1.509242704596624e+15,-3.218365347205968e+15,-6.301841781594704e+14,-3.126118838737314e+05,2.904216772056192e+05,1.216899682280561e+04
8.598047475378350e+18,0,1.988920000000000e+33,1.242597869949442e+16,8.950033486339544e+15,5.500333490144284e+14,5.274779092975712e+03,-1.232009624141188e+05,2.199798657923512e+03
5.620573770313532e+18,0,1.988920000000000e+33,1.036053322678187e+16,-5.605770034539120e+14,1.896009871777966e+13,6.187204170023898e+03,-1.092706492368079e+05,4.000584571485690e+04
1.582038301834367e+19,0,1.988920000000000e+33,1.457026735800798e+16,-5.016626440821800e+15,1.417844933435503e+15,-5.940800611589151e+04,-1.990771167782283e+04,-9.573674327246254e+03
