0,10,0
key,merger [Bool],mass [kg],x [m],y [m],z [m],vx [m/s],vy [m/s],vz [m/s]
5.896347071012026e+18,1,7.955680000000000e+36,1.977041995904000e+12,-1.684205816382400e+13,-1.289549564750000e+11,1.448390832845918e+02,3.774215047629536e+01,-3.600519575860165e+01
4.144558457101176e+18,0,1.988920000000000e+33,1.967872171536784e+15,-3.135845981486931e+16,3.865283869806812e+15,-4.677100388575927e+04,-1.760229198563556e+04,3.682065109358450e+03
1.474288637472497e+19,0,1.988920000000000e+33,2.347704230799680e+14,2.292543986037464e+16,-5.069306564412845e+15,-7.977913571637512e+04,1.019709557229971e+05,-5.394766271896589e+03
9.525132553518789e+18,1,1.988920000000000e+33,-6.294203738020032e+15,6.174396002968720e+15,-4.505168399476298e+15,1.171264682953565e+05,-1.142360085572408e+05,8.255485784850093e+04
1.087293422292143e+19,0,1.988920000000000e+33,-5.498102050189744e+15,-1.241896868941952e+15,-3.868016796745725e+14,-2.952951303124946e+05,2.086443195123813e+04,7.867685083530541e+04
1.290693170889091e+19,0,1.988920000000000e+33,2.149472333503211e+16,1.383270865496560e+15,4.004509091406302e+15,-4.080131066868610e+03,9.813094397305115e+04,-2.029074281592254e+03
2.240289120224673e+18,0,1.988920000000000e+33,-1.335589844231734e+16,1.171660529712208e+16,2.739854702269799e+15,-8.330034533787244e+03,-1.314823485082174e+05,-1.059724936308547e+03
8.477209280197448e+18,0,1.988920000000000e+33,4.411779713972032e+15,2.117310070890898e+16,3.862783063778096e+15,-4.882971013502088e+04,-1.146140329482440e+05,-1.100343181687675e+04
4.110380202394235e+18,0,1.988920000000000e+33,-1.184035953581152e+15,1.031192686186512e+16,2.099496072321392e+14,-1.891647704556918e+05,8.285161381717297e+04,2.014982920527311e+04
1.749498939034690e+19,0,1.988920000000000e+33,-9.685073443133648e+15,2.628384974240043e+16,-4.205283865029707e+15,-2.423288532772599e+04,-7.685186537030274e+04,-2.155582265735715e+04
