0,15,0
key,merger [Bool],mass [kg],x [m],y [m],z [m],vx [m/s],vy [m/s],vz [m/s]
1.541466895697218e+19,1,7.955680000000000e+36,1.136412255296000e+12,-1.023966464723200e+13,-7.331859064548000e+12,-2.715686249386957e+02,2.511219352865297e+03,-2.272531765103763e+03
1.571058673560381e+19,0,1.988920000000000e+33,2.418232055391104e+15,9.396854213300224e+15,-4.691353098426930e+15,2.376021692709221e+05,-9.244637157147814e+04,-8.526400762746172e+04
2.752702873859010e+18,0,1.988920000000000e+33,-5.865478442032704e+15,9.971391974240320e+15,-4.933846156837406e+15,-1.713500231300334e+05,4.819929984257295e+04,6.406090942298778e+04
3.821388550545131e+18,0,1.988920000000000e+33,1.222551365465754e+16,5.133050954497920e+15,-2.005745089370276e+15,-1.496484304959037e+04,-3.069259068566648e+04,-6.201204522521617e+04
1.515824579631948e+19,0,1.988920000000000e+33,-2.598962073088000e+15,-2.033596805149184e+15,5.089168962407160e+14,2.050646737150066e+05,-2.689644262860832e+05,2.231176257175763e+05
8.972884681669479e+18,0,1.988920000000000e+33,-9.030185640183680e+15,1.338156723967930e+16,2.011870767315028e+15,-4.739634088722501e+04,-7.186048199976495e+04,4.313325981935312e+04
1.007138553956112e+19,0,1.988920000000000e+33,-3.835028009238272e+15,2.875486880179878e+16,-4.621407052786266e+15,3.967218149248098e+04,6.754002547186821e+04,-1.139883196804754e+04
1.506304674222374e+19,0,1.988920000000000e+33,-1.893332038608640e+14,-2.497175411219200e+13,7.611139396203086e+15,8.227201377530966e+04,-2.368778777308502e+05,-1.952179457680082e+05
1.371181144024081e+19,0,1.988920000000000e+33,-6.582227618292352e+15,3.399703663134976e+15,1.123924044584215e+16,-8.154321141089941e+04,8.885517908634209e+04,-1.563290182382964e+05
5.723586202994298e+18,0,1.988920000000000e+33,6.593226780896768e+15,-5.671684464903680e+14,-2.527602909913858e+15,-1.994677786785876e+05,-1.177083072089549e+05,-3.756928210867774e+04
1.816582673439114e+19,1,1.988920000000000e+33,1.864447555200000e+12,-1.015222381344000e+13,-6.548444281784000e+12,1.134954189758201e+06,-9.540260652000340e+06,9.311789736952186e+06
1.687800441899211e+19,0,1.988920000000000e+33,6.906221744440832e+15,-5.188185894304365e+16,1.440497581136124e+16,-3.851607853327075e+04,1.033325743625387e+05,-2.348417971786242e+04
2.727344823889170e+18,0,1.988920000000000e+33,-3.597340571104704e+15,2.166789176140371e+16,1.098717770036242e+16,3.640015977047691e+04,-1.380721841380278e+05,-1.517746683023602e+04
1.001777669912286e+19,0,1.988920000000000e+33,1.209329014179872e+16,4.261311907614656e+15,-2.315568863103264e+15,-3.617680611267746e+04,-2.182423989362841e+04,3.531737417514552e+04
3.140175957539550e+18,0,1.988920000000000e+33,-1.308544228810138e+16,-4.902337550092800e+14,3.666186855578886e+15,-6.027580622533086e+04,1.659026412902846e+05,-8.390681883888398e+02
