0,25,0
key,merger [Bool],mass [kg],x [m],y [m],z [m],vx [m/s],vy [m/s],vz [m/s]
9.157970899264488e+18,1,7.955680000000000e+36,-4.932827787316000e+13,-3.000160004775200e+13,5.757073524619375e+12,1.048438044609138e+02,2.420807695935223e+02,3.979715624138612e+02
1.393570500372559e+19,0,1.988920000000000e+33,6.406765902164688e+15,5.693004973377720e+15,5.252097377325112e+14,-2.508377895499140e+05,-7.719663094249619e+04,-2.261460164879845e+04
7.786450044416924e+18,0,1.988920000000000e+33,-2.143234637194320e+15,9.895356299730528e+15,-1.952742713826320e+15,7.159485707065245e+04,4.667849172537882e+04,-1.945007866159891e+04
1.397574576329470e+19,0,1.988920000000000e+33,1.770439282122311e+16,-7.502878461407784e+15,1.377611122190446e+15,1.197925440700270e+05,6.745467495211955e+04,-1.504442487164467e+04
9.379754908575695e+17,0,1.988920000000000e+33,1.801178801081706e+16,1.171904528506117e+16,-3.813443763156039e+15,9.370801345519614e+03,-7.797703328328601e+04,-1.357393179671235e+04
5.745123132224089e+18,0,1.988920000000000e+33,-1.197825894922282e+16,-1.559217964133840e+15,-3.464429053935892e+15,-1.315594996965067e+05,-7.627297347520267e+04,4.035104585595364e+02
1.296484144476990e+19,0,1.988920000000000e+33,1.499628452070118e+16,5.807793977577776e+15,-2.038369689739621e+14,-6.464012347173844e+03,-1.750412375746888e+05,2.088958053933794e+04
1.635766941580119e+19,0,1.988920000000000e+33,1.289488718002404e+16,2.724869353825290e+16,-8.812567609983354e+15,-6.931647936436425e+04,-5.456740973047556e+04,7.302794099381905e+03
1.294106595689397e+19,1,1.988920000000000e+33,5.106077602667672e+15,1.985088811592992e+15,3.575363482648362e+14,-3.327148403218410e+05,-1.304968449143016e+05,-2.292726720669239e+04
1.630229802692435e+19,0,1.988920000000000e+33,9.025169070150232e+15,6.603575923596688e+15,3.030831729384801e+14,1.199043839299321e+05,1.484349657727007e+05,-2.917317273991638e+04
5.220440443747523e+18,0,1.988920000000000e+33,1.737320246694986e+16,-1.515110851739186e+16,1.033579394331075e+15,-1.672584339235268e+04,1.197900614744122e+04,-3.737573771835658e+04
6.156927354576617e+18,0,1.988920000000000e+33,9.655428286412000e+13,2.358570274091600e+14,-2.252183009524066e+14,4.813063676555103e+05,-6.429202574383225e+05,-1.441403608494543e+06
4.538893417072524e+18,0,1.988920000000000e+33,6.965213176713776e+15,7.658219661963952e+15,-2.315810633204818e+15,-6.166245562225747e+04,-1.470718850646671e+05,4.900381329543309e+04
7.640616600175669e+18,0,1.988920000000000e+33,1.956967191165354e+16,1.286889857535605e+16,-9.020562619168245e+14,-4.637051237142889e+03,-6.186682791511933e+04,2.764526949740441e+04
1.093457469857979e+18,0,1.988920000000000e+33,7.640705923895696e+15,1.456091753789420e+16,-3.722295224108496e+15,7.148604314758212e+04,-4.574617792726326e+04,6.524499824043539e+04
1.004769772955882e+19,0,1.988920000000000e+33,8.919110611209544e+15,9.596838051057472e+15,-2.948664605958462e+15,2.889028970927731e+04,1.117593821053325e+05,-6.610741692033915e+04
1.734513976894943e+19,0,1.988920000000000e+33,-7.556989905600592e+15,1.378106268419332e+16,-1.431084915167630e+15,2.344019383261531e+04,-1.159358187662886e+05,4.977515414652127e+03
9.900248621806746e+18,0,1.988920000000000e+33,2.089570084122479e+16,-1.353786811953060e+16,1.610870421595875e+13,-1.259284511354424e+04,-1.738813430169060e+04,2.438768620955878e+04
1.721535946626542e+19,0,1.988920000000000e+33,2.153221848495280e+15,1.212910854494326e+16,5.066847770349912e+14,1.247116755668259e+03,9.994182199923130e+04,-3.961270281333633e+04
9.235274192133583e+18,0,1.988920000000000e+33,-1.139817891737668e+16,8.594724108677768e+15,-1.315015310587670e+15,-1.040460001182998e+05,8.239122388820493e+04,-2.747397918648825e+03
5.138213859906271e+18,0,1.988920000000000e+33,2.140757868672012e+16,4.970104525489248e+15,3.130775146413274e+15,-2.920059345786507e+04,-1.298029362857114e+04,6.745504148373246e+04
5.505438052297507e+18,0,1.988920000000000e+33,5.632712170096640e+15,-2.848249604586952e+15,-1.686785228349090e+14,-1.926558690964119e+05,1.221883147419264e+05,-1.766357581765361e+04
2.169004281769633e+18,0,1.988920000000000e+33,1.216324054624137e+16,5.437902968310448e+15,4.255649485456576e+14,1.530046223936059e+05,-4.538378566511842e+04,-4.509984516664141e+04
1.091330046388001e+19,0,1.988920000000000e+33,6.259353075016312e+15,-1.258716171520888e+15,2.023512621428232e+15,-2.869970651687668e+05,1.669703387908014e+04,-4.568612703337509e+04
5.625843247635376e+18,0,1.988920000000000e+33,1.716814325318010e+16,3.078246535044808e+15,-1.452116186966028e+15,-2.093267606745712e+00,4.997317041988304e+03,-4.071657008568365e+04
