0,20,0
key,merger [Bool],mass [kg],x [m],y [m],z [m],vx [m/s],vy [m/s],vz [m/s]
8.096383777659492e+18,1,7.955680000000000e+36,-1.418475050976900e+13,-9.005707863216000e+12,1.082680246725969e+12,-5.237522420666664e+01,-1.468888470008574e+01,-2.055459694467983e+01
2.526946738067905e+18,0,1.988920000000000e+33,1.655240189492176e+16,7.997176406208600e+14,-1.228833431643229e+15,1.731529416566965e+04,-1.462731501298253e+05,-6.950766935114928e+03
1.197361593173931e+19,0,1.988920000000000e+33,-1.297865753432286e+16,-1.265879165239216e+16,-5.641439464960062e+14,2.717209272288065e+04,1.051913187929606e+05,-1.870484869594149e+03
1.798810290104926e+19,0,1.988920000000000e+33,-3.331569225294060e+14,-4.724512131192422e+15,4.688173296238500e+14,3.425267905002600e+05,-4.357922986159916e+04,3.437416853668631e+04
1.700182266303815e+19,0,1.988920000000000e+33,-1.025848563620405e+16,2.102511624099780e+14,-2.335987251602499e+15,3.132372171988352e+04,-2.187475225441082e+05,4.146067259471832e+03
4.119295942638374e+18,0,1.988920000000000e+33,-9.747206540010350e+15,5.995332427513610e+15,-9.796151374751505e+14,-1.189346099375484e+05,-1.423138902726876e+05,6.861323215086374e+03
8.203782731609178e+18,0,1.988920000000000e+33,6.958936639000050e+15,1.315263432925612e+16,-6.666808695128032e+14,-1.424442832499295e+05,5.888184607840300e+04,-6.467749441747922e+03
3.799438408542568e+18,0,1.988920000000000e+33,-1.684726552992012e+15,-1.824526754450243e+16,-1.992932172914626e+14,-1.472231821599091e+05,5.148691697488227e+04,-1.242368327056184e+04
1.164731318148366e+19,0,1.988920000000000e+33,2.941822686055724e+15,-2.581313449821453e+15,9.834939996326962e+13,2.683406616335069e+05,3.678658263927119e+05,6.085756889619616e+04
1.661136023398946e+19,0,1.988920000000000e+33,1.558320616035610e+16,1.277351695248260e+16,-9.975853712045292e+14,6.672234342692251e+04,9.116628330999012e+04,-1.803589380915636e+04
5.350270885683055e+17,0,1.988920000000000e+33,6.787347506395888e+15,7.612540677392400e+13,3.996513847918986e+14,1.106609310932181e+05,2.633710171623364e+05,2.446516265602199e+04
1.038527197276108e+18,0,1.988920000000000e+33,9.314923035981934e+15,-6.259612821588100e+14,1.305926069008624e+15,-3.623528712049160e+04,-1.886405819158074e+05,-4.274726922425946e+04
9.530696301905762e+18,0,1.988920000000000e+33,5.076736229953960e+15,-3.781044645982740e+14,-1.370393477403375e+14,4.752419986013838e+04,3.613923099575001e+05,-2.013292075332390e+03
8.269334424946840e+18,0,1.988920000000000e+33,2.490443004926978e+16,1.695089883719190e+16,3.388714253937629e+15,-5.651206080797053e+04,-5.662580015351562e+04,-1.971760328062746e+03
5.608927407969177e+18,0,1.988920000000000e+33,3.735263211742676e+15,1.825167215582354e+16,-1.578202934020118e+15,-6.871047572598100e+04,-5.682101085703012e+04,1.163392055714461e+04
2.403442021358739e+18,0,1.988920000000000e+33,-7.142537585150262e+15,-6.185946203448126e+15,8.211126832318180e+14,2.339330837199961e+05,3.830190944766898e+04,-1.971603710240260e+04
1.568773822535551e+19,1,1.988920000000000e+33,4.057241498230756e+15,7.843554675246834e+15,-1.056942367017855e+15,-1.271228761748025e+05,-2.462410047253882e+05,3.288262314117068e+04
9.353773372357628e+18,0,1.988920000000000e+33,4.095832008593692e+15,1.443098878780162e+16,-9.074831873946844e+14,-1.229821643934517e+05,8.435727750380145e+04,4.086733735670553e+03
1.449443656349803e+19,0,1.988920000000000e+33,5.084776311644106e+15,-1.046126720891646e+16,3.112879103893717e+14,-2.046161811331532e+05,1.611074446906148e+04,1.090580458585426e+04
1.250439188435241e+19,0,1.988920000000000e+33,-6.209144421869073e+15,1.399303014770222e+15,-4.727729564516687e+14,8.876289868742856e+04,-2.801277208290123e+05,4.201952251648944e+03
