0,20,0
key,merger [Bool],mass [kg],x [m],y [m],z [m],vx [m/s],vy [m/s],vz [m/s]
1.807865934175908e+19,1,7.955680000000000e+36,1.948379175798400e+13,-2.122615564800000e+13,1.174140300444275e+13,-6.602545158884391e+01,7.984544249962505e+01,-1.725442832852472e+02
7.888029174534669e+18,0,1.988920000000000e+33,-1.144765180180950e+16,3.815218931637978e+16,-9.152616713182628e+15,3.694017782886918e+03,-3.213809027643631e+04,-1.038778543580083e+04
3.321102592106901e+18,0,1.988920000000000e+33,-1.466774454579936e+15,1.209803709430310e+16,6.996348249803562e+15,-7.622871199560926e+04,-1.640786343145788e+04,2.744057341397948e+04
1.006188872266350e+19,0,1.988920000000000e+33,-1.301870575093181e+16,1.898102555099840e+15,1.585865525582244e+15,1.549072850321392e+05,-6.914075611295154e+04,2.553612961080146e+04
1.421390104829014e+19,0,1.988920000000000e+33,-1.298531854431149e+16,1.150495516100582e+16,-8.809943495071311e+14,-8.896783483602936e+04,-2.132592626082845e+04,2.752004914640898e+04
7.911915834164842e+18,0,1.988920000000000e+33,-5.025031083232640e+15,1.431260898289984e+15,-2.062295950410243e+15,-2.435765524442352e+05,-2.492480009720133e+05,-2.428658018399657e+04
1.818676061102368e+19,0,1.988920000000000e+33,6.194887421906432e+15,9.450421302128704e+15,4.802863737045352e+14,-1.137641377538552e+05,1.442652594176706e+05,-5.192769663277645e+04
1.618648308029926e+19,0,1.988920000000000e+33,2.633414292931005e+16,-5.752630565149722e+16,-8.899731441728898e+15,1.098581042161405e+04,6.181895933355917e+04,1.092251282397741e+03
5.265843604565584e+18,0,1.988920000000000e+33,-1.063619939815446e+16,1.261666137686656e+15,4.234662467470232e+14,9.153707941847017e+04,6.286855726983495e+03,2.270592318015831e+04
1.449957786962157e+19,0,1.988920000000000e+33,2.207818407273952e+16,1.938204347229382e+16,-6.834578443026888e+15,-2.075152530414744e+04,8.517908832341791e+04,7.586134798458871e+03
5.769038968568951e+17,0,1.988920000000000e+33,4.566705380332704e+15,-3.568043621141120e+14,-8.400615280873086e+15,6.370671300584099e+04,-3.240180032439785e+04,2.457438993954146e+05
7.393024339360334e+18,0,1.988920000000000e+33,-8.406035881435456e+15,5.716979613724416e+15,-9.832596555663286e+15,1.248287521262364e+05,-5.205556299709868e+04,3.696379664826702e+04
4.423686151235266e+18,0,1.988920000000000e+33,-1.075759390258397e+16,9.842095027387904e+15,-2.173452573991098e+15,9.792047215917501e+04,1.463995605504505e+04,1.375382107260043e+04
6.989176859851659e+18,0,1.988920000000000e+33,-1.011572407038506e+16,1.760709938006342e+16,-1.099925135163823e+16,-7.743092315563500e+04,-3.377068182581713e+04,3.274509058566293e+04
1.809917395423702e+19,0,1.988920000000000e+33,-2.764784253044160e+15,-6.946577790389760e+14,4.641746173092056e+15,2.374412067745081e+05,1.530890658070898e+05,-2.559569075622838e+01
1.816392705789611e+19,0,1.988920000000000e+33,-4.327614959558688e+15,-1.763426369506560e+14,1.112792456720102e+15,-3.902929369547485e+04,-3.394608979420021e+05,2.083173647269951e+05
1.618319788311873e+19,0,1.988920000000000e+33,-1.299903862206259e+16,1.002525729775891e+16,-3.014626105392237e+15,1.053814520591205e+05,5.009019916861371e+04,-4.008470217884400e+04
1.005847115146957e+19,0,1.988920000000000e+33,-1.129934623781187e+16,2.212577737921024e+15,-4.060991315367024e+15,2.602837951138183e+04,-2.254676535029395e+04,2.166307192580879e+04
3.911293343145904e+18,0,1.988920000000000e+33,-2.143511198102077e+16,3.556671006509248e+15,8.232218898939610e+14,3.222664386049615e+04,6.313964582651031e+04,-4.217378125145094e+04
1.008800774452252e+19,1,1.988920000000000e+33,-4.241558954417600e+14,-4.806229789048960e+14,3.282411147464846e+15,-2.480702661150728e+04,-2.939445416409281e+04,1.879951687276602e+05
