0,25,0
key,merger [Bool],mass [kg],x [m],y [m],z [m],vx [m/s],vy [m/s],vz [m/s]
3.379900161951395e+18,1,7.955680000000000e+36,1.865739566182400e+13,7.694309616960000e+12,-2.169729593469000e+13,-2.136150070318895e+02,8.339573026482458e+01,5.559024203328558e+01
1.244195852340504e+18,0,1.988920000000000e+33,5.562639650750656e+15,1.940641264314624e+15,-7.169052711158680e+14,5.988677157594736e+04,-5.920094552856663e+04,3.306762966394976e+05
1.013527236429232e+19,0,1.988920000000000e+33,6.141787134988224e+15,-2.119242514075840e+15,6.791054198180678e+15,2.322347631444361e+05,9.163763660053017e+04,-1.791391289617158e+04
1.065235042943763e+19,0,1.988920000000000e+33,4.368829330420352e+15,-7.318478667886592e+15,1.954110343152251e+15,-1.276138694742138e+05,-8.213944531806637e+04,5.398589403682858e+04
1.097365491149674e+19,0,1.988920000000000e+33,-3.542644889225664e+15,-4.522237839647296e+15,3.874922425123784e+15,4.946650227130152e+04,1.881397156524722e+02,-1.697564851805009e+05
5.416525951696984e+18,0,1.988920000000000e+33,-6.167044878159232e+15,4.482229246253824e+15,-2.113880759994854e+15,-1.526447189175585e+05,2.870803688978703e+04,1.180315020635455e+05
4.007791541499109e+18,0,1.988920000000000e+33,-5.015794551323392e+15,-9.866139711768704e+15,4.494312167465883e+15,1.571144772399832e+05,2.189747891499629e+04,7.681456241839402e+04
1.414264710035261e+18,0,1.988920000000000e+33,-1.190483785691648e+15,-1.246895857468006e+16,4.206255476448500e+15,1.737025131320170e+05,6.539985411743460e+04,-5.957492260415613e+04
1.742800389488707e+17,0,1.988920000000000e+33,-1.223936803861050e+16,1.729152701545709e+16,4.529987123667786e+15,-5.257375234235149e+04,-1.922405515898349e+04,5.951485435377773e+04
1.710974656194884e+19,0,1.988920000000000e+33,-6.705336061494976e+15,-5.668366112279808e+15,1.644696636242959e+15,-2.343598431076694e+04,1.190715281205857e+05,-1.726598070777063e+05
1.230570699244228e+19,0,1.988920000000000e+33,-3.871152127059136e+15,2.954441003871360e+15,5.417703272285535e+15,1.670853017504148e+05,-1.664438406361085e+05,1.890359797197151e+05
1.755744544260234e+19,0,1.988920000000000e+33,-1.938502589868576e+16,-1.240216385070016e+16,2.061635486073481e+16,-3.959034762160358e+04,1.699743221383289e+04,1.808850628186799e+04
1.750369070592318e+19,0,1.988920000000000e+33,-1.199041023316243e+16,-3.516574446848576e+15,2.609168260192417e+15,5.077865739265401e+04,4.779457504620521e+04,-1.793327603645511e+04
1.390223046491813e+18,0,1.988920000000000e+33,4.825376292752512e+15,1.766206930954688e+15,-2.992446030342797e+15,8.404583053543681e+04,-3.729475051494922e+05,2.693734703360217e+04
1.497877344636129e+19,0,1.988920000000000e+33,-2.951957783060992e+15,1.072605408675373e+16,-2.177321647511990e+15,1.230105524054799e+05,3.667674861077337e+04,-9.468698547387894e+04
2.884182315540535e+18,0,1.988920000000000e+33,5.850106644501120e+14,1.740054028608192e+15,-3.962409847866241e+15,-1.810349141403062e+05,-2.873723754431871e+05,-1.432305165126511e+05
9.462699813893493e+18,0,1.988920000000000e+33,2.058969147070573e+16,7.956469392602304e+15,-3.988865109711229e+15,-5.836777973472766e+04,2.017410177345576e+03,7.328698334593068e+04
3.921981728651848e+17,0,1.988920000000000e+33,-8.830860736737984e+15,1.170941720033920e+16,5.053857509807620e+15,7.463281156769235e+04,-4.239708241468826e+04,-1.710915372907208e+05
1.030317348649737e+19,0,1.988920000000000e+33,7.252765591622784e+15,-2.252673650206003e+16,3.765322237939091e+16,1.625929882379726e+04,3.942148792202558e+04,-4.355425311196471e+04
3.398329970522045e+18,0,1.988920000000000e+33,-4.362099418779456e+15,1.163844929118189e+16,3.974993188644582e+15,5.435813305653450e+04,4.849123058483240e+04,-5.908441323731118e+04
3.543000128814634e+18,0,1.988920000000000e+33,-1.330842986874182e+16,4.799694402024576e+15,4.143428629025401e+15,1.948489078094930e+04,8.692754549749420e+04,-1.255052374626428e+05
1.849746413446507e+18,1,1.988920000000000e+33,-5.661035741839424e+15,-4.078220759804928e+15,-1.152171062122984e+15,1.658394604257734e+05,1.192714324027809e+05,3.229852665134628e+04
5.088472704575082e+18,0,1.988920000000000e+33,-4.848885732463360e+15,-8.688546148953344e+15,6.937605267194842e+15,-3.301933701551161e+04,-8.040187361103848e+04,-1.708423272473039e+05
1.173416677383390e+19,0,1.988920000000000e+33,-1.007376758754368e+15,-7.431964438443520e+14,9.725703274661734e+15,2.092706975922355e+05,2.349387090022002e+04,3.730899647122333e+04
1.286914751997371e+19,0,1.988920000000000e+33,-1.287777627907072e+16,-1.386356075789005e+16,-1.973419154478809e+16,-1.144299300100555e+05,2.854979448633561e+04,7.493256982592074e+03
