0,25,0
key,merger [Bool],mass [kg],x [m],y [m],z [m],vx [m/s],vy [m/s],vz [m/s]
5.210017457103045e+18,1,7.955680000000000e+36,-6.319856871645600e+13,-2.194624543713600e+13,-1.183726448078750e+11,-3.938199441080035e+02,2.262541942295786e+02,2.465571611377862e+01
3.757148058141479e+18,0,1.988920000000000e+33,1.413085416303707e+16,6.900612358745016e+15,-1.234111072043398e+15,1.036541656553016e+05,-3.798074738658769e+04,-2.987270885938816e+04
5.313883927273708e+18,0,1.988920000000000e+33,4.715844904230240e+15,6.013987616600320e+15,3.712788043805798e+15,1.081142062122002e+05,2.111181595966361e+05,-1.346263447984595e+04
1.031020122941187e+18,0,1.988920000000000e+33,8.774318190617539e+16,1.221733282191395e+16,-8.132725559144602e+15,1.327292676109419e+04,1.599214334467577e+04,-5.615151796717767e+03
2.084299753037162e+18,0,1.988920000000000e+33,6.602207136203304e+15,1.027381869863968e+16,-1.166883044989558e+15,1.084816927018943e+05,1.251618628715149e+05,-1.687640137048665e+04
1.051649560087749e+19,0,1.988920000000000e+33,-4.532187580949992e+15,-6.140623042300376e+15,1.637657909967205e+15,2.198534746064219e+05,1.495206956311055e+05,4.857556003733785e+04
1.122817591383834e+19,0,1.988920000000000e+33,1.142321456686073e+16,1.036098307722790e+16,-2.057663341452308e+15,-1.194681835466110e+05,-3.622461953435388e+04,2.421633331026401e+04
1.294710210568027e+19,0,1.988920000000000e+33,1.001424302207817e+16,1.826778010733329e+16,-2.067181137263144e+15,8.431807873398669e+03,8.423122942203705e+03,-3.409346136744016e+04
1.423687039767873e+19,0,1.988920000000000e+33,1.083478559564541e+16,-4.925566692291048e+15,4.284989046466210e+14,-4.785116758703713e+04,5.761546764620845e+04,-2.381857328103009e+04
3.222173331313481e+17,0,1.988920000000000e+33,1.266271911522745e+16,1.216226305336491e+16,-3.330399409645768e+15,-2.123775884791582e+04,6.234259499985632e+04,9.320567446139959e+03
1.384687083346211e+19,0,1.988920000000000e+33,1.254155257264027e+16,-1.079676924478919e+16,2.203924869337368e+15,6.588073439111770e+04,-9.020530192063873e+04,3.449310133638864e+04
6.414451636724489e+18,0,1.988920000000000e+33,-3.128245167710984e+15,-6.395601339150240e+15,2.358926635046750e+12,7.147193867589971e+04,3.028815672852928e+05,-1.279632516876312e+02
1.797377292195127e+19,1,1.988920000000000e+33,-9.908208364020960e+14,4.052708968022712e+15,3.214144560560626e+14,8.894624055679710e+04,-3.845723089242333e+05,-3.138329813082216e+04
1.668626546737641e+19,0,1.988920000000000e+33,1.337435208786744e+16,1.979665320307432e+16,3.133925693205194e+15,7.406327715018998e+04,-9.776089691668669e+03,5.972679935054572e+03
6.181749981309235e+18,0,1.988920000000000e+33,8.592367168151672e+15,-5.254104704353328e+15,1.809398398016413e+15,-1.770250995517062e+05,-1.395777361474158e+05,3.082797903695912e+04
8.544628329678667e+18,0,1.988920000000000e+33,-1.901509163817856e+15,7.104802322642440e+15,-1.609442145985044e+15,4.750133114759405e+03,-1.908764632920663e+05,-2.164865199960359e+04
8.023765612783443e+18,0,1.988920000000000e+33,-1.556465163111243e+16,1.209593499665445e+16,2.341742865473328e+15,3.161182832059859e+04,-9.497302391451158e+04,1.233974357418214e+04
4.491998439267270e+17,0,1.988920000000000e+33,3.381130981611401e+16,-2.424387490959166e+16,4.017530880291860e+15,-5.157880514386499e+04,-1.358296668904510e+03,-2.811346572161795e+03
5.262416334866323e+18,0,1.988920000000000e+33,-7.032115310117016e+15,5.596105152203376e+15,-1.737260153690858e+15,-7.003235098614621e+03,-2.829114232473982e+05,5.567817749958249e+04
1.497359377517898e+19,0,1.988920000000000e+33,-1.852651765898912e+15,2.089652993996400e+14,7.851387040003608e+14,6.119896064634238e+05,-2.882827868756786e+05,-1.375016735880841e+05
8.605780474114562e+18,0,1.988920000000000e+33,2.630637832949644e+16,1.695227410145888e+15,4.187106499079693e+15,-4.750821914323624e+04,-5.847107461089490e+04,3.202438726997409e+04
2.752081062102925e+18,0,1.988920000000000e+33,4.444449767076384e+15,2.672951798940744e+15,-1.669471729744402e+15,3.465507218711764e+05,6.176663576577939e+04,-4.663495371034161e+04
1.302040756951748e+19,0,1.988920000000000e+33,1.265363193517258e+16,1.579151431901070e+16,-2.008983627659474e+15,2.139758757959700e+04,-9.938626322225596e+04,-7.376668517608317e+03
1.839486834698745e+19,0,1.988920000000000e+33,1.278624139335766e+16,-2.199754482638360e+15,2.603781553992477e+14,-9.870398319399961e+04,-8.790751932420977e+04,2.018028766223567e+04
1.561026735594549e+19,0,1.988920000000000e+33,5.159122842457192e+15,2.529634959699416e+15,6.457474949360638e+14,2.671858866111290e+05,-9.733537224077155e+04,-1.028194638015092e+03
